*---------------------------------------------------------*
*   Station: de Bilt, Nederland
*   Year: 20090101
*   Source: AGMIP Phase4 Project
*   
*   Author: Nobody
*   Longitude: 5.180 W
*   Latitude: 52.00 N
*   Elevation: 1.90 m
*   Comments: 
*             
* 
* Columns:
*  ========
* station number
* year
* day
* irradiation                   (kJ m-2 d-1)
* minimum temperature           (degrees Celsius)
* maximum temperature           (degrees Celsius)
* early morning vapour pressure (kPa)
* mean wind speed (height: 2 m) (m s-1)
* precipitation                 (mm d-1)
*-------------------------------------------------------------*
1   2009 139 1744000   7.3  20.1  1.57   2.8   0.0
1   2009 140 2274000   6.6  20.2  1.54   2.4   0.0
1   2009 141 1876000   7.1  19.4  1.52   2.2   0.0
1   2009 142 2382000   6.0  17.7  1.39   3.0   0.6
1   2009 143 2192000  10.9  21.3  1.83   2.0   0.0
1   2009 144 2764000   9.2  22.4  1.79   2.5   0.0
1   2009 145 2208000   9.1  25.3  1.96   2.7   0.1
1   2009 146  725000   9.6  19.2  1.64   4.7  25.6
1   2009 147 1370000   8.0  15.2  1.37   5.3   0.2
1   2009 148 2025000  10.2  18.6  1.64   3.6   0.0
1   2009 149 2971000   6.9  20.7  1.58   3.3   0.0
1   2009 150 2790000   8.3  22.1  1.73   4.3   0.0
1   2009 151 2449000  12.4  23.9  2.08   4.1   0.0
1   2009 152 2605000  12.6  25.2  2.18   3.8   0.0
1   2009 153 2859000  11.7  21.3  1.88   4.2   0.0
1   2009 154 1714000  10.2  15.8  1.50   4.1   0.0
1   2009 155 1438000   7.2  13.8  1.27   3.2   0.2
1   2009 156 1306000   5.0  13.2  1.16   2.1   0.1
1   2009 157 1687000   5.3  17.0  1.33   4.0   0.0
1   2009 158 1071000   7.0  16.3  1.37   2.6  10.9
1   2009 159 2123000   8.0  18.9  1.54   2.8   0.1
1   2009 160 1672000  12.1  19.6  1.80   4.3   9.9
1   2009 161 1404000  11.8  17.8  1.68   2.8   6.6
1   2009 162 1544000   9.7  16.4  1.50   3.3  10.3
1   2009 163 2783000   6.4  17.8  1.41   3.0   0.0
1   2009 164 2595000   4.5  21.6  1.50   1.7   0.0
1   2009 165 1102000  13.3  20.7  1.94   2.5   4.1
1   2009 166 1381000  10.9  19.1  1.70   1.5   1.2
1   2009 167 1918000   8.8  18.9  1.58   2.1   5.9
1   2009 168 2427000   7.3  22.6  1.70   2.9   0.3
1   2009 169 2201000  14.7  20.8  2.03   3.4   0.1
1   2009 170 2151000  12.5  17.6  1.71   4.1   0.2
1   2009 171 1743000  10.9  18.1  1.65   3.3   0.2
1   2009 172 2120000   8.0  18.4  1.52   2.7   0.2
1   2009 173 1945000   7.9  18.8  1.53   2.6   0.0
